dir	x	y	y	incl	len	
0.0	1.6	3.0	0	4.0	7	
90.0	1.6	2.2	0	4.0	7	
0.0	0.8	4.6	0	4.0	7	
0.0	0.8	3.8	0	4.0	7	
90.0	0.8	3.0	0	4.0	7	
90.0	0.8	2.2	0	4.0	7	
180.0	-1.6	3.0	0	4.0	7	
90.0	-1.6	2.2	0	4.0	7	
180.0	-0.8	4.6	0	4.0	7	
180.0	-0.8	3.8	0	4.0	7	
90.0	-0.8	3.0	0	4.0	7	
90.0	-0.8	2.2	0	4.0	7	
180.0	-1.6	-3.0	0	4.0	7	
270.0	-1.6	-2.2	0	4.0	7	
180.0	-0.8	-4.6	0	4.0	7	
180.0	-0.8	-3.8	0	4.0	7	
270.0	-0.8	-3.0	0	4.0	7	
270.0	-0.8	-2.2	0	4.0	7	
360.0	1.6	-3.0	0	4.0	7	
270.0	1.6	-2.2	0	4.0	7	
360.0	0.8	-4.6	0	4.0	7	
360.0	0.8	-3.8	0	4.0	7	
270.0	0.8	-3.0	0	4.0	7	
270.0	0.8	-2.2	0	4.0	7	
